Network,N_Nodes,Density,Rigidity,Hidden_Ratio,Target_Bucket,Target_Node,Target_Value,Exact_SDP,Exact_Time_sec,Exact_Peak_Memory_MB_Python,Exact_Peak_Memory_MB_RSS,MCMC_Mean_SDP,MCMC_Variance,MCMC_Avg_Time_sec,MCMC_Peak_Memory_MB_Python,MCMC_Peak_Memory_MB_RSS,Absolute_Error,PT_MCMC_Mean_SDP,PT_MCMC_Variance,PT_MCMC_Avg_Time_sec,PT_Peak_Memory_MB_Python,PT_Peak_Memory_MB_RSS,PT_Absolute_Error
bn_n20_w6_uncertain_strong.bif,20,6,uncertain_strong,0.5,0.7,X12,1,0.7323702381456952,0.020117759704589844,0.3123512268066406,0.0,0.7315,0.00015065000000000027,1.940608549118042,0.11906147003173828,0.0,0.0008702381456952013,0.73,0.00018640000000000036,8.211478424072265,0.40160465240478516,0.0,0.002370238145695258
bn_n20_w6_uncertain_strong.bif,20,6,uncertain_strong,0.5,0.9,X12,1,0.8709393373701827,0.018374919891357422,0.2828712463378906,0.0,0.8725999999999999,7.044000000000012e-05,1.6718350648880005,0.11642932891845703,0.0,0.0016606626298172333,0.8675,8.225000000000016e-05,7.122540855407715,0.32860660552978516,0.0,0.003439337370182649
bn_n20_w6_uncertain_strong.bif,20,6,uncertain_strong,0.5,1.0,X12,1,1.0,0.01314687728881836,0.19791030883789062,0.0,1.0,0.0,1.0759514808654784,0.09180164337158203,0.0,0.0,1.0,0.0,4.600434041023254,0.21297550201416016,0.0,0.0
bn_n20_w6_uniform.bif,20,6,uniform,0.25,0.4,X4,1,0.4410320009721319,0.019899606704711914,0.31196117401123047,0.0,0.45210000000000006,0.00015628999999999998,1.848566722869873,0.1197052001953125,0.0,0.011067999027868147,0.44430000000000003,0.0005514099999999996,7.888517737388611,0.33600711822509766,0.0,0.003267999027868118
bn_n20_w6_uniform.bif,20,6,uniform,0.25,0.5,X4,1,0.5246014372883633,0.01700568199157715,0.28571605682373047,0.0,0.5287,0.00011281000000000022,1.6048068046569823,0.11834430694580078,0.0,0.004098562711636666,0.5227,0.0002520100000000005,6.8712692022323605,0.3056802749633789,0.0,0.001901437288363228
bn_n20_w6_uniform.bif,20,6,uniform,0.25,0.7,X4,1,0.6917558933995313,0.016373157501220703,0.27895164489746094,0.0,0.6910999999999999,0.0003164899999999989,0.9541309356689454,0.08421039581298828,0.0,0.0006558933995313154,0.694,0.00011879999999999957,4.0809204339981076,0.19040775299072266,0.0,0.0022441066004686983
bn_n20_w6_uniform.bif,20,6,uniform,0.25,0.9,X4,1,0.8886480264810321,0.01648688316345215,0.2741117477416992,0.0,0.8852,6.176000000000011e-05,1.5593565225601196,0.11627674102783203,0.0,0.0034480264810321515,0.8907,0.00010481000000000018,6.674587273597718,0.29081058502197266,0.0,0.002051973518967909
bn_n20_w6_uniform.bif,20,6,uniform,0.25,1.0,X4,1,1.0,0.01689624786376953,0.2775449752807617,0.0,1.0,0.0,1.697481369972229,0.10523700714111328,0.0,0.0,1.0,0.0,7.206072974205017,0.32959842681884766,0.0,0.0
bn_n20_w6_uniform.bif,20,6,uniform,0.5,0.4,X4,1,0.4251853703897736,0.019075393676757812,0.2804145812988281,0.0,0.43079999999999996,0.0002651600000000005,1.490994119644165,0.10960102081298828,0.0,0.0056146296102263515,0.41390000000000005,0.00021988999999999988,6.427653026580811,0.2814493179321289,0.0,0.011285370389773564
bn_n20_w6_uniform.bif,20,6,uniform,0.5,0.5,X4,1,0.5265215778221023,0.0198214054107666,0.3082389831542969,0.0,0.5328,0.00017776000000000033,2.0600137948989867,0.14355182647705078,0.0,0.006278422177897758,0.5215,0.00010545000000000018,8.779656076431275,0.35594749450683594,0.0,0.00502157782210233
