Network,N_Nodes,Density,Rigidity,Hidden_Ratio,Target_Bucket,Target_Node,Target_Value,Exact_SDP,Exact_Time_sec,Exact_Peak_Memory_MB_Python,Exact_Peak_Memory_MB_RSS,MCMC_Mean_SDP,MCMC_Variance,MCMC_Avg_Time_sec,MCMC_Peak_Memory_MB_Python,MCMC_Peak_Memory_MB_RSS,Absolute_Error,PT_MCMC_Mean_SDP,PT_MCMC_Variance,PT_MCMC_Avg_Time_sec,PT_Peak_Memory_MB_Python,PT_Peak_Memory_MB_RSS,PT_Absolute_Error
bn_n20_w6_uncertain_moderate.bif,20,6,uncertain_moderate,0.5,0.8,X0,1,0.7979025474273399,0.017081260681152344,0.28389549255371094,0.0,0.8023,0.00041460999999999885,1.7321285963058473,0.12132930755615234,0.0,0.00439745257266011,0.796,0.00017819999999999994,7.387630748748779,0.32787609100341797,0.0,0.0019025474273398624
bn_n20_w6_uncertain_strong.bif,20,6,uncertain_strong,0.25,0.6,X12,1,0.5639235888346017,0.015722990036010742,0.2703838348388672,0.0,0.5600999999999999,0.0002730899999999989,1.4618320703506469,0.0993947982788086,0.0,0.0038235888346017655,0.563,0.00014459999999999912,6.339173626899719,0.2513303756713867,0.0,0.0009235888346017518
bn_n20_w6_uncertain_strong.bif,20,6,uncertain_strong,0.25,0.8,X12,1,0.8373026701884545,0.015898466110229492,0.28420257568359375,0.0,0.8363999999999999,0.00021784000000000045,1.4142525434494018,0.10929012298583984,0.0,0.0009026701884545796,0.8427,3.521000000000006e-05,6.061952018737793,0.2674283981323242,0.0,0.005397329811545504
bn_n20_w6_uncertain_strong.bif,20,6,uncertain_strong,0.5,0.6,X12,1,0.5820777585148098,0.01613616943359375,0.2847414016723633,0.0,0.5757999999999999,0.00015215999999999933,1.8195045471191407,0.1258230209350586,0.0,0.006277758514809939,0.579,8.499999999999971e-05,7.931592607498169,0.36890697479248047,0.0,0.0030777585148098474
bn_n20_w6_uncertain_strong.bif,20,6,uncertain_strong,0.5,0.8,X12,1,0.7719080461519622,0.018222808837890625,0.30827808380126953,0.0,0.7791,0.00012889000000000024,2.0136687040328978,0.1341238021850586,0.0,0.007191953848037835,0.7757,0.00014801000000000026,8.491198825836182,0.37488842010498047,0.0,0.0037919538480377657
bn_n50_w2_concentrated_bias_high.bif,50,2,concentrated_bias_high,0.25,0.6,X1,1,0.5817164074849938,0.023925304412841797,0.4811239242553711,0.0,0.5812999999999999,5.8010000000000104e-05,1.1224282264709473,0.11101245880126953,0.0,0.0004164074849938304,0.5767,0.0002184099999999994,4.715893173217774,0.23708438873291016,0.0,0.005016407484993768
bn_n50_w2_concentrated_bias_high.bif,50,2,concentrated_bias_high,0.25,0.8,X1,1,0.8423390129304706,0.027253389358520508,0.42972469329833984,0.0,0.8473,0.0001642100000000003,0.9707674980163574,0.10313892364501953,0.0,0.00496098706952941,0.8408,5.97600000000001e-05,4.063072729110718,0.2082376480102539,0.0,0.0015390129304706512
bn_n50_w2_concentrated_bias_high.bif,50,2,concentrated_bias_high,0.5,0.6,X1,1,0.5913057658395283,0.02427196502685547,0.3304738998413086,0.0,0.5898,0.00025356000000000044,0.9586344003677368,0.10539722442626953,0.0,0.001505765839528328,0.5932000000000001,0.00020136000000000034,3.9364470481872558,0.21241092681884766,0.0,0.0018942341604717416
bn_n50_w2_concentrated_bias_high.bif,50,2,concentrated_bias_high,0.5,0.8,X1,1,0.7531753212557574,0.01378631591796875,0.3910055160522461,0.0,0.7549,0.0001204900000000002,1.0578895807266235,0.11066913604736328,0.0,0.001724678744242647,0.7470999999999999,0.00017869000000000028,4.346921753883362,0.2225809097290039,0.0,0.006075321255757493
bn_n20_w6_uniform.bif,20,6,uniform,0.25,0.6,X4,1,0.5888160927028484,0.0157625675201416,0.2709789276123047,0.0,0.579,0.0001590000000000003,1.6986030340194702,0.1241445541381836,0.0,0.009816092702848445,0.5959,0.0001042900000000002,7.297009825706482,0.32506847381591797,0.0,0.0070839072971515815
