Network,N_Nodes,Density,Rigidity,Hidden_Ratio,Target_Bucket,Target_Node,Target_Value,Exact_SDP,Exact_Time_sec,Exact_Peak_Memory_MB,MCMC_Mean_SDP,MCMC_Variance,MCMC_Avg_Time_sec,MCMC_Peak_Memory_MB,Absolute_Error,PT_MCMC_Mean_SDP,PT_MCMC_Variance,PT_MCMC_Avg_Time_sec,PT_Peak_Memory_MB,PT_Absolute_Error
bn_n50_w6_concentrated_bias_high.bif,50,6,concentrated_bias_high,0.25,0.4,X11,1,0.39318774365287906,0.0410923957824707,0.689666748046875,0.40040000000000003,0.00047444,1.570512342453003,0.13099956512451172,0.007212256347120971,0.39680000000000004,0.00021255999999999974,6.6478046655654905,0.3216991424560547,0.003612256347120979
bn_n50_w6_concentrated_bias_high.bif,50,6,concentrated_bias_high,0.25,0.5,X11,1,0.540961512918792,0.04857611656188965,0.7226028442382812,0.5346000000000001,0.0003368399999999998,2.2731384515762327,0.16494274139404297,0.006361512918791945,0.5459000000000002,0.00021648999999999952,9.46723039150238,0.44411754608154297,0.004938487081208143
bn_n50_w6_concentrated_bias_high.bif,50,6,concentrated_bias_high,0.25,0.6,X11,1,0.6459999692598616,0.0471196174621582,0.7301025390625,0.6416000000000002,0.00020984000000000036,1.9295214653015136,0.14220714569091797,0.004399969259861414,0.6489,0.00038089000000000064,8.13806219100952,0.35581111907958984,0.0029000307401384484
bn_n50_w6_concentrated_bias_high.bif,50,6,concentrated_bias_high,0.25,0.7,X11,1,0.6604315612243672,0.04257512092590332,0.6724472045898438,0.6638000000000001,0.00022915999999999982,1.6610683441162108,0.14155101776123047,0.003368438775632865,0.6579,0.0004474900000000008,7.036511540412903,0.34021568298339844,0.0025315612243671515
bn_n50_w6_concentrated_bias_high.bif,50,6,concentrated_bias_high,0.25,0.8,X11,1,0.7864269828866938,0.040377140045166016,0.5621719360351562,0.7935000000000001,5.14500000000001e-05,1.3267020463943482,0.12270641326904297,0.0070730171133063235,0.7934,0.00013144000000000025,5.588591790199279,0.2586660385131836,0.0069730171133062235
bn_n50_w6_concentrated_bias_high.bif,50,6,concentrated_bias_high,0.25,0.9,X11,1,0.93963163725997,0.04086709022521973,0.6683425903320312,0.944,3.699999999999983e-05,1.4806134939193725,0.13560009002685547,0.004368362740029941,0.9394,2.4839999999999606e-05,6.320193958282471,0.2755270004272461,0.00023163725996999673
bn_n50_w6_concentrated_bias_high.bif,50,6,concentrated_bias_high,0.25,1.0,X11,1,1.0,0.04518628120422363,0.7294921875,1.0,0.0,2.040392446517944,0.15638256072998047,0.0,1.0,0.0,8.537254667282104,0.36475658416748047,0.0
bn_n50_w6_rigid_extreme.bif,50,6,rigid_extreme,0.25,0.4,X33,1,0.4400644766976539,0.03815460205078125,0.557464599609375,0.43739999999999996,0.0004366400000000002,2.085732841491699,0.14771556854248047,0.0026644766976539613,0.4514,0.00014864000000000007,8.985127091407776,0.40050315856933594,0.011335523302346107
bn_n50_w6_rigid_extreme.bif,50,6,rigid_extreme,0.25,0.5,X33,1,0.5403464163698725,0.035265207290649414,0.526885986328125,0.5384,0.00030444000000000055,1.3004430770874023,0.12246990203857422,0.0019464163698724724,0.5365,0.0003398499999999999,5.60258116722107,0.2543783187866211,0.003846416369872485
bn_n50_w6_rigid_extreme.bif,50,6,rigid_extreme,0.25,0.6,X33,1,0.6281331024497747,0.0348207950592041,0.5465011596679688,0.6288,0.012251760000000002,1.4310036897659302,0.12742137908935547,0.0006668975502253094,0.6378,0.0006193599999999999,6.037564373016357,0.2800436019897461,0.009666897550225317
